"","date","W","SI","SB","S","RB","PL","JO","NG","LH","QS","CO","LC","KW","KC","LX","LT","LN","LL","LP","LA","HO","GC","FC","CT","CL","CC","C"
"1",2000-01-04,0.0367353427149736,0.00248583352271775,0.0162661722364765,0.0231572426834315,0.0528644328181694,0.00182060716851123,0.00662498795668651,0.0445700722994287,0.0377630081347838,0.0319688256122294,0.12170120839605,0.0655151764098851,0.0143362229617768,0.0102939564859795,0.0078851761726974,0.0012358479650992,0.00820579386857942,0.00227596347495206,0.0181649634707871,0.0399700584199572,0.0843223598387338,0.026485060125957,0,0.0208800799459687,0.281448441568903,0.00161087925516468,0.041412286492101
"2",2000-01-05,0.0374961915639934,0.00243481047726771,0.0165508214140408,0.0236732233603286,0.0527017528211796,0.00178723886713667,0.00685563198336211,0.0448722237132723,0.0377819988757399,0.0324227914487325,0.120538535854809,0.0661068703440988,0.014605631437173,0.0106122609947712,0.00795319438434282,0.00124075109418427,0.00828991274087481,0.00229036420183625,0.0184524487215815,0.0408728518081784,0.0836610121111924,0.0266120652948028,0,0.0214444084359548,0.277278079977529,0.00161804874843162,0.0418468793251858
"3",2000-01-06,0.0373428923161486,0.00241693959770577,0.0164520162652795,0.0236205189424897,0.052992276625591,0.00175372184992449,0.00676921851182531,0.0454936253686174,0.0378854686233588,0.032413131781519,0.119870188391427,0.0672230001795211,0.0145529367328044,0.0104653039635237,0.00799164881398004,0.00127667293086993,0.00826659602459251,0.00232332523360288,0.0183973594783355,0.0409849325634763,0.0833983485884512,0.0266649076198672,0,0.0216806367981084,0.276085125774602,0.00163902836946888,0.0420401786549087
"4",2000-01-07,0.0384201449131363,0.00245542121096433,0.0168675189395802,0.024205600139056,0.050596834139028,0.00178858999939479,0.00687153816516498,0.0457531700945302,0.0386771698262519,0.0319372034571265,0.121006012316394,0.0685450150587832,0.014598403254912,0.0102927251737617,0.0080730680335494,0.00129138535673982,0.00826575355925384,0.00236173417252674,0.0187673035109185,0.0418506345476967,0.0797366562189365,0.0269895951510701,0,0.0226218671707784,0.272927672128492,0.00169425586828153,0.0434047275936731
"5",2000-01-10,0.0386198362493366,0.00243655631521676,0.0167667964499897,0.0239504874621982,0.0493261086931063,0.00179529106892785,0.00686478012626832,0.0465120065509007,0.0385574013751851,0.0307775603441322,0.12504193192504,0.0677980397473687,0.0143520083368053,0.0104897494018566,0.00795251451207615,0.00126604575515465,0.00815507486506202,0.00232246438342085,0.0185630245074224,0.0413328546500005,0.0766982053687045,0.0267875976781802,0,0.0222284682867882,0.276063874192569,0.00166931843958736,0.0436720033147019
"6",2000-01-11,0.038089740454673,0.00239116791674864,0.016026815697651,0.0236989446643619,0.0480368315070364,0.00176527280825473,0.0066004660698564,0.0466282597459665,0.0381526916795103,0.0309832546913499,0.128895509901628,0.0663272827539692,0.0138368750047199,0.0102688951413819,0.00773340919230113,0.00123839601480551,0.00790837224406025,0.00224464958618309,0.0182936106130799,0.0407694457804152,0.0750669867862372,0.0264246297548128,0,0.0219719544251039,0.282182332038493,0.00166415939653524,0.042800046130865
"7",2000-01-12,0.0385702179309411,0.00233925017809001,0.0152600618017438,0.0238695256836937,0.047650970207261,0.0017709808063922,0.0065958297919853,0.0460814469881613,0.0372068135208873,0.0316294881829553,0.130431384521551,0.0649848704398665,0.0137062897256075,0.0102093985128703,0.00772146056559591,0.0012203393109542,0.00793687842893922,0.0022144006260468,0.0183935433038186,0.0404861985072133,0.0735884486863011,0.0260558123009793,0,0.0214559660385644,0.284723875140029,0.00167380263160771,0.0442227461679445
"8",2000-01-13,0.0391825623868488,0.0023267313603175,0.0152971635887831,0.0242954478491114,0.0458246733468432,0.00177625794006844,0.0067122078758632,0.0461022922126881,0.0370553943279527,0.031976587752646,0.132950436522023,0.0645824555292406,0.0135602707831973,0.0100643563144061,0.00766745877245515,0.00121302579220598,0.00778616821158754,0.00217457692468962,0.0183614060509792,0.0400734830877545,0.0709322496795321,0.026003815204069,0,0.0216356704112431,0.285518413227186,0.00170856673893373,0.0452183281093744
"9",2000-01-14,0.0384136418081617,0.00226683925268958,0.0148034337082763,0.0240349910068434,0.0467902950255391,0.00175506417733672,0.00646971958890986,0.0461977569397317,0.036421640071932,0.0319758120744021,0.132640366635725,0.0630866851893348,0.0133556607444787,0.00931445264929368,0.00748679506229295,0.00119358264707185,0.00760686636091902,0.00209709981914993,0.0179518115475165,0.0394306726527332,0.0733454615919779,0.0253403919237964,0,0.0212335611216513,0.29143141286716,0.00162539946549004,0.0437305860675864
"10",2000-01-18,0.0376225926392679,0.00223083400801253,0.0140995440382105,0.0238696925395204,0.0472283312182325,0.00174441217721385,0.00640921827591102,0.0463333273492417,0.0358626018293697,0.0325414150978731,0.134411380784761,0.0618405715088876,0.013060627560529,0.00939974939274787,0.00729042447365322,0.0011763587073959,0.00755535262146073,0.00202273906247294,0.0177515025718138,0.0401049720419986,0.0738794441885716,0.0252809094968023,0,0.0206995308591579,0.29292386089878,0.00155365633084216,0.0431069503272714
"11",2000-01-19,0.0376589705214458,0.00222383812865179,0.0145641620940843,0.0236989098280444,0.0466543413092073,0.00178846115262917,0.00629609656468055,0.046768286217548,0.0361560234579778,0.0323891982551884,0.132723408407191,0.061001171953838,0.0130663131515467,0.00943256690756886,0.0073256888751019,0.00117715952918616,0.00763510441273034,0.00202596615194203,0.0179464719802269,0.0405169433902698,0.0749711707631055,0.0252315698236386,0,0.021727652898912,0.292392673537873,0.00157627080554899,0.0430515798818628
